day_of_week,away_team,away_goals,home_team,home_goals,length_of_game_min,away_outcome,home_outcome,W,L,GDIFF,SOW%,PTS,PTS%,PP,PP%
3,3,3,5,5,138,0,1,32,39,44,50,75,46,47,21
3,21,4,8,1,131,1,0,25,46,41,20,61,37,30,12
3,24,2,6,0,136,1,0,27,49,42,75,60,36,32,14
3,27,4,9,3,151,1,0,54,21,55,75,115,70,63,27
3,11,3,13,2,141,1,0,49,27,53,83,104,64,61,25
3,15,7,17,4,144,1,0,22,49,40,60,55,33,34,13
3,22,0,19,3,144,0,1,46,25,54,30,103,63,50,20
3,16,3,20,2,162,1,0,45,30,51,66,97,59,63,24
3,4,4,23,2,147,1,0,50,21,58,50,111,68,54,22
4,18,2,5,1,138,1,0,37,35,49,25,84,51,46,22
4,3,3,12,4,140,0,1,32,39,44,50,75,46,47,21
4,14,3,25,4,155,0,1,53,22,55,55,113,69,53,20
4,2,2,26,1,154,1,0,51,26,53,50,107,65,50,21
4,7,5,31,4,155,1,0,56,19,57,66,119,73,67,24
5,17,3,9,1,143,1,0,27,46,44,37,63,38,35,15
5,8,5,10,4,154,1,0,37,38,46,57,81,49,41,18
5,7,2,11,1,157,1,0,56,19,57,66,119,73,67,24
5,12,4,16,1,150,1,0,58,18,58,42,122,75,64,24
5,20,1,19,5,146,0,1,33,42,45,60,73,44,47,19
5,0,5,21,3,148,1,0,31,37,46,44,76,46,48,21
5,30,6,22,3,159,1,0,44,26,52,62,100,61,48,18
5,4,4,24,1,144,1,0,50,21,58,50,111,68,54,22
5,18,1,25,6,147,0,1,37,35,49,25,84,51,46,22
5,15,2,27,3,148,0,1,22,49,40,60,55,33,34,13
5,23,2,28,4,154,0,1,32,37,44,50,77,47,41,18
5,1,1,29,6,143,0,1,25,50,40,20,57,35,28,13
6,0,2,5,5,156,0,1,31,37,46,44,76,46,48,21
6,9,6,6,4,145,1,0,46,30,48,71,98,60,54,22
6,13,3,14,6,149,0,1,44,27,50,50,99,61,40,16
6,31,4,20,3,153,1,0,39,32,49,33,89,54,52,21
6,16,2,22,3,155,0,1,45,30,51,66,97,59,63,24
6,3,0,26,5,142,0,1,32,39,44,50,75,46,47,21
6,2,2,30,4,159,0,1,51,26,53,50,107,65,50,21
0,31,4,15,2,143,1,0,39,32,49,33,89,54,52,21
1,17,6,1,2,143,1,0,27,46,44,37,63,38,35,15
1,25,4,2,2,151,1,0,49,22,56,40,109,67,65,26
1,24,3,4,5,148,0,1,27,49,42,75,60,36,32,14
