Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-11-02,Arizona Coyotes,0,Philadelphia Flyers,3,,16057,2:24,
2021-11-02,Buffalo Sabres,3,San Jose Sharks,5,,10059,2:19,
2021-11-02,Vegas Golden Knights,0,Toronto Maple Leafs,4,,18689,2:20,
2021-11-02,New York Rangers,2,Vancouver Canucks,3,OT,18257,2:22,
2021-11-02,Dallas Stars,3,Winnipeg Jets,4,SO,13174,2:46,
2021-11-03,Carolina Hurricanes,4,Chicago Blackhawks,3,,16449,2:23,
2021-11-03,Columbus Blue Jackets,5,Colorado Avalanche,4,OT,16634,2:29,
2021-11-03,Nashville Predators,2,Edmonton Oilers,5,,14414,2:28,
2021-11-03,St. Louis Blues,2,Los Angeles Kings,3,SO,11756,2:41,
2021-11-04,Detroit Red Wings,1,Boston Bruins,5,,17850,2:29,
2021-11-04,Dallas Stars,4,Calgary Flames,3,OT,14715,2:34,
2021-11-04,Washington Capitals,4,Florida Panthers,5,OT,12542,2:33,
2021-11-04,New York Islanders,6,Montreal Canadiens,2,,19924,2:28,
2021-11-04,Vegas Golden Knights,5,Ottawa Senators,1,,13211,2:19,
2021-11-04,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,17037,2:31,
2021-11-04,Buffalo Sabres,2,Seattle Kraken,5,,17151,2:30,
2021-11-04,St. Louis Blues,5,San Jose Sharks,3,,11816,2:23,
2021-11-04,Tampa Bay Lightning,1,Toronto Maple Leafs,2,OT,18937,2:31,
2021-11-05,Arizona Coyotes,1,Anaheim Ducks,3,,12148,2:29,
2021-11-05,New York Rangers,5,Edmonton Oilers,6,OT,17404,2:30,
2021-11-05,New Jersey Devils,2,Los Angeles Kings,3,OT,16045,2:30,
2021-11-05,Nashville Predators,3,Vancouver Canucks,2,,18870,2:27,
2021-11-05,Chicago Blackhawks,1,Winnipeg Jets,5,,13756,2:21,
2021-11-06,Seattle Kraken,4,Arizona Coyotes,5,,15045,2:26,
2021-11-06,Detroit Red Wings,4,Buffalo Sabres,3,OT,8171,2:25,
2021-11-06,Colorado Avalanche,2,Columbus Blue Jackets,4,,16494,2:23,
2021-11-06,New York Rangers,0,Calgary Flames,6,,15879,2:25,
2021-11-06,Carolina Hurricanes,2,Florida Panthers,5,,13835,2:31,
2021-11-06,Vegas Golden Knights,5,Montreal Canadiens,2,,20156,2:31,
2021-11-06,Tampa Bay Lightning,5,Ottawa Senators,3,,12417,2:30,
2021-11-06,Minnesota Wild,5,Pittsburgh Penguins,4,SO,17181,2:46,
2021-11-06,New Jersey Devils,3,San Jose Sharks,2,SO,12019,2:33,
2021-11-06,Boston Bruins,2,Toronto Maple Leafs,5,,19077,2:30,
2021-11-06,New York Islanders,2,Winnipeg Jets,0,,13424,2:22,
2021-11-06,Philadelphia Flyers,2,Washington Capitals,1,,18573,2:23,
2021-11-07,St. Louis Blues,1,Anaheim Ducks,4,,12056,2:29,
